command,mean,stddev,median,user,system,min,max,parameter_width
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 90,0.009752292689895475,0.0008298896795325853,0.009949004000000001,0.0073739337979094165,0.0019826585365853655,0.007122637,0.011190724,90
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 95,0.07772143436842106,0.003626877665964869,0.07748378650000001,0.07558978947368421,0.00407707894736842,0.07211063100000001,0.085594474,95
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 95,0.12883147508695653,0.00512809177688437,0.12893843700000002,0.12067804347826087,0.011215608695652171,0.11594456500000001,0.13978842900000002,95
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 95,0.009668856746428565,0.0008927845293948265,0.009949316,0.007428950000000003,0.002040603571428571,0.0071087960000000006,0.011346273,95
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 100,0.07957976679999999,0.002989734564710447,0.07922004,0.077012375,0.00446885,0.074468351,0.08591681500000001,100
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 100,0.13124247805000003,0.006388064420339565,0.1295886205,0.12421130000000002,0.010014249999999997,0.121607427,0.14432066500000001,100
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 100,0.009094036036363634,0.0011294393683657007,0.008987771,0.006170552727272725,0.002199105454545453,0.007189931,0.011424124,100
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 105,0.08302809527027029,0.0026169301439720656,0.082968925,0.0814247027027027,0.003403486486486487,0.078369557,0.088870629,105
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 105,0.13757380247619047,0.004632110973070752,0.13716419500000002,0.13090438095238097,0.009774666666666668,0.127944412,0.144403799,105
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 105,0.00834851073720137,0.0009799971384273406,0.008044707,0.005901303754266207,0.002223167235494879,0.006896851000000001,0.010808149000000001,105
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 110,0.08458708064705882,0.002139801046411203,0.08440347249999999,0.08325385294117647,0.002989794117647059,0.08100718900000001,0.08855479200000001,110
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 110,0.14484040563157893,0.004918076046146506,0.14583594900000002,0.13684399999999997,0.011412736842105264,0.134728708,0.15174749,110
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 110,0.00886314658867924,0.0012504997527613237,0.008376371,0.006399098113207547,0.00227637358490566,0.006882667,0.013660807,110
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 115,0.087878286,0.0031126247746143306,0.08709019300000001,0.08613526470588233,0.0036292941176470587,0.083136655,0.09382106000000001,115
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 115,0.14919352209999998,0.0044277475421125815,0.150432034,0.14154925000000002,0.011482749999999998,0.139192706,0.156159551,115
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 115,0.008570886825688075,0.0011253245160013415,0.008177596,0.0059308685015290515,0.0024146911314984715,0.006932116,0.010863079000000001,115
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 120,0.09038605343749999,0.0029523005954392636,0.09069919500000001,0.08892821875000001,0.0033149375,0.085649708,0.095519395,120
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 120,0.15053681865,0.0034961704185859405,0.15004049600000002,0.14244085,0.0118808,0.142815884,0.156875804,120
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 120,0.009014663157216492,0.0011746461727451596,0.009002261000000001,0.006514672680412374,0.002190185567010308,0.007027787000000001,0.011537110000000001,120
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 125,0.09124882625806452,0.0029023345326537504,0.091318649,0.08837258064516129,0.004858516129032257,0.08575753400000001,0.09894878300000001,125
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 125,0.15319386605555554,0.003704154048738944,0.152763021,0.14425505555555554,0.012808944444444442,0.147899318,0.163512081,125
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 125,0.009436081797833933,0.0011028836322898783,0.009887012,0.006970631768953067,0.002259393501805054,0.006965746,0.011433470000000001,125
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.09331716340625003,0.002012326379446082,0.0933682125,0.0912795,0.004339249999999999,0.08899504200000001,0.10170450800000001,130
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.15960878422222222,0.003325752738493519,0.1602181895,0.15482988888888885,0.008387333333333333,0.153347966,0.16621132400000002,130
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.009783894824561405,0.0010660441142693398,0.01005958,0.007348333333333333,0.0022023122807017536,0.007231564,0.015049082,130
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 135,0.093734263125,0.002046209092000348,0.09382238000000001,0.09146900000000002,0.00447184375,0.08935464400000001,0.09896632600000001,135
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 135,0.16368519364705883,0.0028009959288313366,0.163590276,0.1584064705882353,0.00940335294117647,0.15831081500000002,0.168607441,135
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 135,0.009439711291512916,0.001143439678368102,0.009893923,0.007007601476014758,0.002196571955719558,0.007165599000000001,0.011355228,135
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.09399862516129034,0.001367243808014018,0.09444922400000001,0.09239670967741934,0.0034158064516129033,0.09179109,0.097198422,140
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.17258000399999998,0.004678956488066316,0.17338998500000002,0.16603223529411762,0.010844235294117648,0.16493711900000002,0.17916989,140
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.008629918481927706,0.0011445857664727063,0.008197536,0.005963978915662648,0.0023594849397590343,0.006969746000000001,0.012446381000000001,140
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 145,0.09693449661290324,0.0023061974077685354,0.096756121,0.09465996774193546,0.004192741935483872,0.093356639,0.101213411,145
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 145,0.1713500811764706,0.0036805074984647052,0.17130351100000002,0.16367041176470587,0.011544117647058823,0.166444902,0.18085150600000002,145
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 145,0.00853682263636364,0.0010155486502409215,0.00818494,0.006034760942760939,0.002229632996632996,0.0072099650000000005,0.011584875000000001,145
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.09787774803448278,0.0019603219260197783,0.097577462,0.09629075862068963,0.0036641379310344826,0.09381128200000001,0.10252976800000001,150
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.175728304125,0.003220637429807851,0.174840736,0.16795737499999996,0.011763062499999997,0.17068555100000002,0.18070903700000002,150
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.00852699494300518,0.0009956848453357443,0.008131415,0.005731002590673579,0.0023742642487046633,0.006740543000000001,0.011295288,150
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 155,0.09915861528571432,0.0021393878414998173,0.0985378955,0.0962450357142857,0.00507567857142857,0.09524158,0.105371905,155
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 155,0.17930967881249998,0.003456098194032636,0.1789369805,0.17347912499999996,0.010279187499999997,0.17502463000000001,0.18898920900000002,155
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 155,0.009579796250883395,0.0010164713789009713,0.009934449000000001,0.0071605406360424045,0.0021534558303886926,0.007046370000000001,0.011731554,155
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 160,0.1012427545862069,0.0016405338409861657,0.10192588000000001,0.0999749655172414,0.0031108965517241374,0.09782893000000001,0.104455026,160
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 160,0.18224269113333333,0.0028505178749224764,0.181999448,0.17373946666666665,0.012218000000000001,0.177997324,0.188838275,160
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 160,0.00955336617272727,0.001059027141684201,0.0099253975,0.007289166666666662,0.002076315151515152,0.006828835,0.011683034,160
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 165,0.10559710664285715,0.002332689418016962,0.10541520750000001,0.10374375,0.003933071428571429,0.10228347400000001,0.10934774600000001,165
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 165,0.18472076931250003,0.0020948346530805973,0.1845664895,0.17673637499999997,0.011462875,0.180760908,0.18816759200000002,165
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 165,0.009584344873529414,0.0010478887570786926,0.009940885,0.007120997058823532,0.0021715823529411763,0.00694797,0.011716395000000001,165
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 170,0.1044540835357143,0.0016358908290313424,0.10467952900000001,0.10228274999999999,0.00420475,0.101276053,0.10689216200000001,170
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 170,0.19038450546666666,0.003534856343011225,0.19058592100000002,0.18239466666666668,0.012579866666666667,0.184517819,0.199643917,170
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 170,0.009122857894736843,0.0011813764558227541,0.009248088500000001,0.006624980263157897,0.0022796940789473683,0.006814146,0.011910803000000001,170
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 175,0.10705036158620689,0.0030040022572188417,0.106309922,0.10480848275862069,0.004505793103448275,0.102553035,0.11704004800000001,175
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 175,0.19407585885714287,0.004503753333541615,0.1930216855,0.18702078571428568,0.012018785714285713,0.187947526,0.204932735,175
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 175,0.008696230006968645,0.0010639119080497845,0.008320997,0.006154205574912889,0.0022584459930313585,0.0067680430000000005,0.010870954,175
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 180,0.10891780242857145,0.00241140860586029,0.1087196655,0.10593992857142855,0.005082249999999999,0.10392475200000001,0.11385154200000001,180
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 180,0.1960031833333333,0.0029284546079096966,0.196818669,0.1886403333333333,0.011145999999999998,0.19125896,0.19995289800000002,180
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 180,0.00845356598918919,0.001043529871719323,0.008095412,0.005862081081081081,0.002368016216216216,0.00685976,0.010774274,180
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 185,0.11228583432142857,0.0024384018167606493,0.112495125,0.10987882142857143,0.004636642857142857,0.10640864600000001,0.116069347,185
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 185,0.20146999571428573,0.0042694777057464064,0.2020000575,0.19682435714285712,0.009670285714285715,0.195398966,0.20777594800000002,185
