command,mean,stddev,median,user,system,min,max,parameter_width
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.07643102305405404,0.002774837372148721,0.076451794,0.07137972972972971,0.0043689459459459465,0.07207275,0.08332652600000001,130
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.026295186252252262,0.0032820155298431577,0.025442697,0.02069006306306306,0.005118405405405404,0.021458757000000002,0.032733410000000004,130
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.024260156094827595,0.0013113683462730266,0.023970382000000002,0.019387568965517247,0.004462939655172415,0.022135536,0.028967484,130
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.07431538992500003,0.0013985497541909473,0.07401029,0.06790682499999998,0.005199775000000001,0.071743929,0.077589929,130
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.07952035974999999,0.0017918272628972174,0.0794125085,0.07438919444444442,0.0045269444444444445,0.07616202000000001,0.08517296,140
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.009367589109634556,0.001076177957214003,0.009851076,0.00655304318936877,0.002275039867109634,0.006838414,0.010876707000000001,140
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.08471254431428572,0.003863675115652453,0.08543268600000001,0.0788736857142857,0.004840028571428572,0.07639804700000001,0.09118142400000001,140
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.025030303661417334,0.002930816397987781,0.023990591000000002,0.019264811023622045,0.00535937007874016,0.021301947,0.036276537000000005,140
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.02464266407826087,0.001126553917722034,0.024547700000000002,0.018975730434782602,0.005267365217391305,0.022112886000000002,0.028371298000000003,140
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.07930589772222224,0.0016763140153318132,0.07934055450000001,0.07408908333333333,0.004605861111111112,0.076432872,0.083308622,140
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.08744278405882354,0.0023871379898882596,0.0872428385,0.08157317647058823,0.004871470588235293,0.082030138,0.091473685,150
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.008414968797250852,0.0012044969073161439,0.007873931,0.005694333333333333,0.0022783058419243983,0.006884467,0.011062263000000001,150
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.09174273900000002,0.0034004351769060014,0.09072253100000001,0.08605330303030301,0.004806939393939394,0.08595973100000001,0.09867574100000001,150
